Axis1,Axis2,Axis3,label_name
-0.996,0.375,0.262,grazing
-0.703,0.242,0.453,grazing
-0.738,0.305,0.34,grazing
-0.426,0.207,0.383,grazing
-0.813,0.168,0.246,grazing
-1.05,0.273,0.191,grazing
-0.758,0.289,0.445,grazing
-0.891,0.328,0.301,grazing
-0.586,0.238,0.379,grazing
-0.984,0.277,0.141,grazing
-0.855,0.109,0.305,grazing
-1.28,0.184,0.324,grazing
-1.14,0.414,0.168,grazing
-0.883,0.355,0.219,grazing
-0.488,0.004,0.098,grazing
-0.473,-0.137,0.152,grazing
-0.52,0.023,0.145,grazing
-0.684,0.219,0.105,grazing
-0.867,0.234,0.117,grazing
-0.68,0.082,0.18,grazing
-0.945,0.047,0.063,grazing
-1.22,0.016,0.07,grazing
-0.992,-0.004,0.199,grazing
-0.684,-0.113,0.117,grazing
-0.305,-0.266,0.309,grazing
-0.359,0.121,0.383,grazing
-0.641,0.285,0.336,grazing
-0.906,0.207,0.504,grazing
-1.08,0.496,0.445,grazing
-1.06,0.184,0.363,grazing
-1.1,0.082,0.465,grazing
-1.28,0.273,0.25,grazing
-0.824,0.086,0.34,grazing
-0.605,0.063,0.383,grazing
-0.316,-0.133,0.266,grazing
-0.434,-0.016,0.488,grazing
-1.17,0.605,0.137,grazing
-0.664,0.188,0.402,grazing
-0.875,0.055,0.16,grazing
-0.555,0.043,0.238,grazing
-0.563,-0.18,0.281,grazing
-0.98,0.102,0.344,grazing
-1.05,0.516,0.676,grazing
-1.02,0.5,0.453,grazing
-0.664,0.113,0.387,grazing
-0.836,0.09,0.188,grazing
-0.977,0.109,0.398,grazing
-1.18,0.047,0.164,grazing
-0.891,-0.016,0.207,grazing
-0.883,0.047,0.34,grazing
-0.836,-0.055,0.32,grazing
-0.387,0.137,0.527,grazing
-0.652,0.285,0.109,grazing
-0.902,0.387,0.18,grazing
-1.07,0.156,-0.008,grazing
-0.691,0.113,0.289,grazing
-0.816,-0.254,0.066,grazing
-0.582,-0.215,0.246,grazing
-0.844,0.406,0.145,grazing
-0.922,0.203,0.043,grazing
-0.602,0.125,0.453,grazing
-0.789,0.211,0.195,grazing
-0.629,0.207,0.316,grazing
-1.05,0.16,-0.027,grazing
-0.898,0.16,0.273,grazing
-0.91,0.344,0.242,grazing
-0.613,0.219,0.371,grazing
-1.23,1.17,0.313,grazing
-1.1,0.566,0.184,grazing
-0.5,-0.047,0.066,grazing
-0.566,-0.332,-0.137,grazing
-0.773,0.449,-0.043,grazing
-0.313,0.191,0.379,grazing
-0.66,0.25,0.129,grazing
-0.875,0.258,0.191,grazing
-1.24,0.297,0.031,grazing
-1.03,0.344,0.387,grazing
-1.09,0.313,0.012,grazing
-0.559,0.156,0.156,grazing
-0.488,0.289,0.277,grazing
-0.641,0.188,0.203,grazing
-0.813,0.238,0.258,grazing
-0.914,-0.047,0.219,grazing
-0.777,-0.008,0.277,grazing
-0.695,-0.289,0.188,grazing
-0.605,-0.297,0.207,grazing
-0.691,-0.055,0.359,grazing
-1.15,0.168,0.27,grazing
-0.984,0.301,0.391,grazing
-0.848,0.148,0.246,grazing
-0.777,0.27,0.145,grazing
-0.684,0.125,0.324,grazing
-0.949,0.176,0.309,grazing
-0.945,0.109,0.301,grazing
-0.789,0.18,0.355,grazing
-0.762,0.418,0.184,grazing
-0.805,0.324,0.141,grazing
-0.684,0.102,0.352,grazing
-0.727,0.191,0.207,grazing
-0.66,0.285,0.207,grazing
-0.703,0.289,0.223,grazing
-0.813,0.355,0.297,grazing
-0.801,0.371,0.281,grazing
-0.773,0.375,0.281,grazing
-0.688,0.297,0.344,grazing
-0.688,0.141,0.344,grazing
-0.668,0.223,0.398,grazing
-0.938,0.289,0.398,grazing
-1.03,0.301,0.375,grazing
-0.992,0.281,0.324,grazing
-0.887,0.305,0.414,grazing
-0.848,0.246,0.309,grazing
-0.785,0.199,0.246,grazing
-0.734,0.105,0.199,grazing
-0.727,0.141,0.191,grazing
-0.824,0.223,0.277,grazing
-0.938,0.262,0.109,grazing
-0.781,0.07,0.316,grazing
-0.871,0.211,0.113,grazing
-0.695,0.191,0.09,grazing
-0.668,0.219,0.121,grazing
-0.633,0.059,0.133,grazing
-0.664,0.109,0.281,grazing
-0.684,0.324,0.316,grazing
-0.754,0.379,0.313,grazing
-0.887,0.426,0.332,grazing
-0.926,0.324,0.258,grazing
-0.93,0.254,0.254,grazing
-0.902,0.133,0.129,grazing
-0.609,0.059,0.301,grazing
-0.695,-0.141,0.297,grazing
-0.949,0.254,0.137,grazing
-0.793,0.184,0.234,grazing
-0.855,0.125,0.445,grazing
-0.801,0.18,0.262,grazing
-0.762,0.148,0.102,grazing
-0.977,-0.016,0.086,grazing
-0.82,0.063,0.324,grazing
-0.992,0.18,0.313,grazing
-0.73,0.332,0.461,grazing
-1.07,0.766,0.297,grazing
-1.09,0.566,0.191,grazing
-0.668,0.074,0.129,grazing
-0.5,-0.223,0.074,grazing
-0.355,-0.063,0.18,grazing
-0.809,0.27,0.301,grazing
-0.961,0.348,0.293,grazing
-0.988,0.422,0.375,grazing
-0.621,0.352,0.234,grazing
-0.664,0.262,0.148,grazing
-0.801,0.316,0.09,grazing
-0.719,0.246,0.246,grazing
-1.1,0.473,0.273,grazing
-1.37,0.594,0.313,grazing
-1.11,0.445,0.195,grazing
-0.371,0.145,-0.035,grazing
-0.113,0.043,0.059,grazing
-0.324,0.207,0.109,grazing
-1.12,0.438,0.082,grazing
-1.01,0.379,-0.016,grazing
-0.672,0.25,0.262,grazing
-0.633,0.184,0.184,grazing
-0.867,0.273,0.031,grazing
-0.945,0.266,0.223,grazing
-1.21,0.387,0.293,grazing
-0.98,0.566,0.262,grazing
-0.715,0.211,0.184,grazing
-0.48,0.023,0.207,grazing
-0.563,-0.02,0.238,grazing
-0.684,0.227,0.27,grazing
-1.03,0.043,0.059,grazing
-0.945,-0.031,0.039,grazing
-0.746,0.09,0.273,grazing
-0.676,0.156,0.18,grazing
-0.762,0.063,0.066,grazing
-0.891,0.199,0.18,grazing
-1.05,0.195,0.055,grazing
-0.602,0.211,0.328,grazing
-0.785,0.172,0.266,grazing
-0.68,0.102,0.34,grazing
-0.785,0.184,0.254,grazing
-0.949,0.223,0.117,grazing
-0.773,0.254,0.277,grazing
-0.871,0.316,0.359,grazing
-0.793,0.203,0.316,grazing
-0.754,0.152,0.383,grazing
-0.793,0.254,0.27,grazing
-0.984,0.184,0.152,grazing
-0.703,0.25,0.422,grazing
-0.621,0.195,0.496,grazing
-0.711,0.215,0.473,grazing
-0.664,0.125,0.484,grazing
-0.754,0.051,0.469,grazing
-1.09,0.281,0.227,grazing
-0.887,0.27,0.453,grazing
-0.813,0.277,0.551,grazing
-0.789,0.266,0.43,grazing
-0.738,0.344,0.328,grazing
-0.895,0.363,0.281,grazing
-0.875,0.246,0.195,grazing
-0.535,0.043,0.391,grazing
-0.617,-0.039,0.215,grazing
-0.594,-0.066,0.254,grazing
-0.961,0.07,0.16,grazing
-0.891,0.168,0.434,grazing
-1.13,0.512,0.41,grazing
-0.477,0.598,0.477,grazing
-1.01,0.418,0.414,grazing
-1.04,0.18,0.262,grazing
-0.77,-0.086,0.313,grazing
-0.785,-0.004,0.289,grazing
-0.668,0.039,0.199,grazing
-0.641,0.094,0.199,grazing
-0.785,0.094,0.422,grazing
-0.539,0.16,0.434,grazing
-0.902,0.105,0.273,grazing
