Axis1,Axis2,Axis3,label_name
-1.17,-0.039,0.25,grazing
-0.879,0.023,0.336,grazing
-0.508,-0.09,0.797,grazing
-0.715,-0.266,0.289,grazing
-0.816,-0.031,0.598,grazing
-1.19,0.02,0.188,grazing
-0.777,0.07,0.512,grazing
-0.668,0.086,0.496,grazing
-0.516,-0.207,0.113,grazing
-0.125,-0.152,0.496,grazing
-0.906,0.109,0.945,grazing
-1.49,0.355,0.98,grazing
-1.6,-0.445,0.25,grazing
-0.75,-0.371,0.461,grazing
-0.316,0.098,0.543,grazing
-0.863,0.238,0.25,grazing
-0.371,0.25,0.816,grazing
-0.566,0.137,0.43,grazing
-0.637,0.156,0.695,grazing
-1.39,0.148,0.285,grazing
-0.852,0.141,0.609,grazing
-0.766,-0.188,0.824,grazing
-1.27,-0.012,0.258,grazing
-1.3,0.242,0.34,grazing
-0.684,-0.008,0.469,grazing
-0.25,-0.246,0.609,grazing
-0.527,-0.246,0.297,grazing
-0.68,0.117,0.508,grazing
-0.715,0,0.418,grazing
-1.07,0.445,0.363,grazing
-1.09,0.133,0.262,grazing
-0.734,0.285,0.391,grazing
-0.426,-0.035,0.75,grazing
-0.582,-0.223,0.281,grazing
-0.391,-0.125,0.547,grazing
-1.09,0.129,0.258,grazing
-1.02,0.152,0.398,grazing
-0.918,0.031,0.844,grazing
-0.738,-0.496,0.305,grazing
-0.781,-0.121,0.449,grazing
-1.02,-0.012,0.246,grazing
-0.824,0.23,0.621,grazing
-0.988,0.109,0.648,grazing
-1.46,-0.137,0.273,grazing
-1.14,0.109,0.434,grazing
-0.531,-0.344,0.129,grazing
-0.105,-0.086,0.211,grazing
-0.117,0.34,0.652,grazing
-0.777,0.152,0.23,grazing
-1.03,0.195,0.469,grazing
-1.02,0.066,0.176,grazing
-0.777,-0.078,0.668,grazing
-0.859,-0.191,0.297,grazing
-0.566,-0.129,0.449,grazing
-1.08,0.105,0.188,grazing
-1.02,0.18,0.535,grazing
-0.625,-0.059,0.754,grazing
-0.598,-0.512,0.355,grazing
-0.707,-0.223,0.551,grazing
-1.12,-0.309,0.57,grazing
-1.16,-0.242,0.426,grazing
-0.828,0.078,0.707,grazing
-0.684,-0.02,0.352,grazing
-0.285,0.098,0.48,grazing
-0.926,0.043,0.246,grazing
-0.516,0.008,0.699,grazing
-0.816,-0.121,0.422,grazing
-0.516,-0.133,0.652,grazing
-1.03,0.016,0.375,grazing
-0.938,-0.043,0.441,grazing
-0.789,-0.066,0.832,grazing
-1.2,-0.367,0.547,grazing
-1.09,-0.27,0.633,grazing
-1.28,-0.066,0.402,grazing
-0.754,-0.316,0.391,grazing
-0.262,-0.32,0.414,grazing
-0.332,0.16,0.383,grazing
-0.48,0.242,0.602,grazing
-1.06,0.066,0.109,grazing
-0.676,0.313,0.422,grazing
-0.734,0.105,0.547,grazing
-0.668,-0.148,0.367,grazing
-0.922,-0.105,0.41,grazing
-1.13,0.074,0.289,grazing
-0.754,0.051,0.723,grazing
-0.656,-0.379,0.293,grazing
-0.543,-0.438,0.293,grazing
-0.738,-0.328,0.586,grazing
-1.16,-0.117,0.434,grazing
-1.32,0.012,0.637,grazing
-0.863,-0.156,0.355,grazing
-0.664,-0.094,0.461,grazing
-0.504,-0.074,0.465,grazing
-1.03,-0.109,0.203,grazing
-0.445,-0.035,0.617,grazing
-0.754,-0.164,0.367,grazing
-0.559,-0.113,0.504,grazing
-0.941,-0.066,0.375,grazing
-1.07,-0.168,0.316,grazing
-0.828,-0.137,0.691,grazing
-0.813,-0.586,0.34,grazing
-0.352,-0.57,0.473,grazing
-0.613,-0.297,0.566,grazing
-1.19,-0.125,0.492,grazing
-1.33,-0.141,0.434,grazing
-0.871,-0.188,0.426,grazing
-0.699,-0.188,0.371,grazing
-0.508,-0.145,0.383,grazing
-0.641,0.109,0.305,grazing
-0.883,0.031,0.172,grazing
-0.582,0.027,0.504,grazing
-0.738,-0.219,0.309,grazing
-0.742,-0.207,0.379,grazing
-1.18,-0.141,0.191,grazing
-0.977,-0.125,0.398,grazing
-0.637,-0.273,0.426,grazing
-0.621,-0.371,0.152,grazing
-0.664,-0.301,0.398,grazing
-1.06,-0.258,0.332,grazing
-1.15,-0.156,0.297,grazing
-1.12,-0.152,0.285,grazing
-0.828,-0.121,0.195,grazing
-0.609,-0.102,0.27,grazing
-0.652,-0.164,0.137,grazing
-0.578,-0.055,0.125,grazing
-0.406,-0.105,0.367,grazing
-0.625,-0.148,0.262,grazing
-0.926,-0.098,0.289,grazing
-1.26,0.078,0.094,grazing
-0.898,0.09,0.512,grazing
-0.984,-0.117,0.352,grazing
-0.688,-0.57,0.059,grazing
-0.602,-0.563,0.402,grazing
-1.13,-0.426,0.434,grazing
-1.11,-0.207,0.406,grazing
-0.938,-0.195,0.461,grazing
-0.754,-0.199,0.434,grazing
-0.668,-0.301,0.461,grazing
-0.523,-0.148,0.473,grazing
-0.723,-0.184,0.465,grazing
-0.82,-0.152,0.313,grazing
-0.773,-0.32,0.41,grazing
-0.625,-0.305,0.266,grazing
-0.535,-0.145,0.453,grazing
-0.84,-0.039,0.441,grazing
-0.801,-0.125,0.43,grazing
-0.68,-0.18,0.398,grazing
-0.688,-0.172,0.465,grazing
-0.797,-0.156,0.359,grazing
-0.688,-0.102,0.594,grazing
-0.91,0.008,0.52,grazing
-0.859,-0.207,0.434,grazing
-0.898,-0.266,0.387,grazing
-0.922,-0.391,0.504,grazing
-0.758,-0.297,0.402,grazing
-0.637,-0.078,0.559,grazing
-0.742,0.004,0.527,grazing
-0.82,0.004,0.566,grazing
-0.77,-0.059,0.574,grazing
-0.715,-0.203,0.531,grazing
-0.82,-0.266,0.418,grazing
-0.664,-0.254,0.656,grazing
-0.785,-0.074,0.535,grazing
-0.984,-0.133,0.445,grazing
-0.859,-0.07,0.406,grazing
-0.941,-0.133,0.438,grazing
-0.836,-0.059,0.285,grazing
-0.684,0.023,0.488,grazing
-0.707,0.02,0.422,grazing
-0.723,0.02,0.434,grazing
-0.754,-0.039,0.402,grazing
-0.762,-0.074,0.352,grazing
-0.762,-0.164,0.41,grazing
-0.844,-0.086,0.418,grazing
-1.04,0.461,0.438,grazing
-0.863,-0.098,0.234,grazing
-1.04,0.023,0.281,grazing
-0.707,0.043,0.367,grazing
-0.676,0.02,0.398,grazing
-0.813,0.031,0.324,grazing
-0.766,0.035,0.336,grazing
-0.816,0.059,0.402,grazing
-0.809,-0.121,0.324,grazing
-0.734,-0.141,0.258,grazing
-1.11,0.145,0.219,grazing
-1.05,0.016,0.273,grazing
-0.676,-0.023,0.566,grazing
-0.723,0,0.57,grazing
-0.77,-0.262,0.254,grazing
-0.941,-0.078,0.473,grazing
-0.555,0.449,0.828,grazing
-0.855,0.594,0.875,grazing
-1.25,-0.102,0.188,grazing
-0.867,-0.543,0.359,grazing
-0.285,0.086,0.559,grazing
-0.668,0.516,0.445,grazing
-0.883,0.301,0.527,grazing
-0.969,0.289,0.504,grazing
-0.648,0.102,0.574,grazing
-0.82,0.285,0.578,grazing
-0.805,0.129,0.563,grazing
-0.801,0.188,0.512,grazing
-0.754,0.137,0.426,grazing
-0.727,0.082,0.316,grazing
-0.414,0.176,0.754,grazing
-0.559,0.363,0.453,grazing
-1.05,0.254,0.363,grazing
-0.906,0.148,0.402,grazing
-1.01,0.176,0.473,grazing
-0.707,-0.023,0.59,grazing
-0.816,0.156,0.551,grazing
-0.73,-0.039,0.547,grazing
-0.711,-0.383,0.34,grazing
-0.859,-0.461,0.418,grazing
-1.26,0.238,0.617,grazing
-0.949,0.395,0.59,grazing
-0.781,0.164,0.539,grazing
-0.75,-0.004,0.516,grazing
-0.723,-0.102,0.316,grazing
-0.293,-0.012,0.52,grazing
-0.938,0.141,0.375,grazing
-0.832,0.063,0.32,grazing
-0.684,0.039,0.695,grazing
-0.793,-0.133,0.402,grazing
-0.82,-0.121,0.527,grazing
-0.957,0.074,0.148,grazing
-0.609,0.152,0.395,grazing
-0.754,0.281,0.648,grazing
-1.28,-0.18,0.246,grazing
-1.1,-0.156,0.367,grazing
-0.59,0.086,0.551,grazing
-0.438,0.063,0.652,grazing
-0.641,-0.285,0.301,grazing
-0.633,-0.102,0.578,grazing
-0.969,0.078,0.254,grazing
-0.832,0.25,0.645,grazing
-1,0.176,0.227,grazing
-0.598,0.242,0.719,grazing
-0.82,0.008,0.449,grazing
-0.5,-0.188,0.543,grazing
-1.07,0.102,0.355,grazing
-0.973,0.055,0.617,grazing
-0.555,-0.168,0.66,grazing
-0.316,-0.891,0.328,grazing
-1.05,-0.082,0.738,grazing
-1.53,0.305,0.648,grazing
-0.949,0.09,0.516,grazing
-0.945,0.055,0.574,grazing
-0.617,-0.438,0.516,grazing
-0.625,-0.254,0.207,grazing
-0.352,-0.031,0.379,grazing
-0.582,0.297,0.801,grazing
-0.734,0.094,0.441,grazing
-0.656,-0.039,0.68,grazing
-1.38,-0.02,0.266,grazing
-0.719,0.035,0.656,grazing
-0.832,-0.289,0.301,grazing
-0.652,-0.234,0.449,grazing
-0.938,-0.203,0.273,grazing
-1.11,0.258,0.281,grazing
-0.801,0.383,0.844,grazing
-0.789,0.191,0.184,grazing
-0.406,-0.25,0.504,grazing
-0.453,-0.301,0.332,grazing
-1.08,-0.051,0.227,grazing
-1.01,0.348,0.465,grazing
-0.781,0.406,0.727,grazing
-0.945,-0.055,0.27,grazing
-0.523,-0.289,0.449,grazing
-0.598,-0.227,0.43,grazing
-1.3,0.059,0.402,grazing
-0.996,0.285,0.324,grazing
-0.559,0.188,0.762,grazing
-0.652,-0.059,0.289,grazing
-0.449,-0.105,0.5,grazing
-1.12,0.008,0.156,grazing
-0.98,0.129,0.488,grazing
-0.855,-0.004,0.645,grazing
-0.758,-0.563,0.43,grazing
-0.387,-0.434,0.633,grazing
-1.09,-0.238,0.492,grazing
-1.41,-0.012,0.535,grazing
-0.848,0.145,0.566,grazing
-0.758,0.238,0.652,grazing
-0.504,-0.156,0.488,grazing
-0.434,-0.027,0.41,grazing
-0.637,-0.164,0.426,grazing
-0.867,0.059,0.512,grazing
-0.68,0.074,0.688,grazing
-0.672,-0.16,0.484,grazing
-0.633,-0.039,0.551,grazing
-1.1,0.082,0.469,grazing
-0.965,-0.055,0.727,grazing
-0.836,-0.016,0.695,grazing
-0.875,-0.199,0.59,grazing
-1.12,-0.172,0.516,grazing
-0.875,0.227,0.594,grazing
-0.504,0.402,0.543,grazing
-0.207,-0.387,0.488,grazing
-0.738,-0.336,0.309,grazing
-0.738,0.504,0.75,grazing
-0.992,0.516,0.48,grazing
-0.781,0.199,0.379,grazing
-0.574,0.152,0.336,grazing
-0.465,0.199,0.945,grazing
-0.676,-0.094,0.258,grazing
-0.613,0.113,0.598,grazing
-1.35,0.375,0.418,grazing
-1.08,0.234,0.719,grazing
-1.01,0.18,0.754,grazing
-0.824,-0.164,0.297,grazing
-0.969,0.148,0.602,grazing
-1.08,0.332,0.602,grazing
-0.602,-0.398,0.75,grazing
-0.688,-0.395,0.418,grazing
-0.809,-0.234,0.402,grazing
-0.898,-0.113,0.422,grazing
-1.17,0.016,0.34,grazing
-1.21,-0.039,0.426,grazing
-0.945,-0.098,0.43,grazing
-0.773,0.055,0.434,grazing
-0.652,0.047,0.395,grazing
-0.547,-0.137,0.367,grazing
-0.52,-0.23,0.363,grazing
-0.484,-0.301,0.352,grazing
-0.605,-0.34,0.32,grazing
-0.629,-0.273,0.406,grazing
-0.609,-0.355,0.391,grazing
-0.59,-0.34,0.418,grazing
-0.879,-0.32,0.27,grazing
-0.652,-0.453,0.363,grazing
-0.598,-0.32,0.246,grazing
-0.629,-0.254,0.418,grazing
-0.648,-0.496,0.332,grazing
-0.777,-0.527,0.328,grazing
-0.75,-0.563,0.383,grazing
-0.734,-0.633,0.371,grazing
-0.836,-0.559,0.297,grazing
-0.621,-0.465,0.516,grazing
-0.703,-0.352,0.402,grazing
-0.57,-0.336,0.441,grazing
-0.871,-0.316,0.422,grazing
-0.801,-0.402,0.441,grazing
-0.656,-0.391,0.371,grazing
-0.605,-0.281,0.375,grazing
-0.633,-0.195,0.43,grazing
-0.832,-0.137,0.484,grazing
-0.895,-0.18,0.477,grazing
-0.777,-0.348,0.438,grazing
-0.727,-0.328,0.457,grazing
-0.676,-0.402,0.32,grazing
-0.52,-0.254,0.461,grazing
-0.543,-0.164,0.387,grazing
-0.988,-0.137,0.508,grazing
-0.898,-0.359,0.344,grazing
-0.828,-0.469,0.414,grazing
-0.684,-0.383,0.301,grazing
-0.609,-0.25,0.422,grazing
-0.785,-0.27,0.301,grazing
-0.859,-0.152,0.352,grazing
-0.773,-0.148,0.301,grazing
-0.766,-0.168,0.324,grazing
-0.859,-0.289,0.219,grazing
-0.84,-0.242,0.488,grazing
-0.902,-0.176,0.375,grazing
-0.871,-0.055,0.328,grazing
-0.914,-0.215,0.34,grazing
-0.859,-0.242,0.285,grazing
-0.703,-0.195,0.207,grazing
-0.68,-0.008,0.363,grazing
-0.789,-0.012,0.27,grazing
-0.848,0.043,0.258,grazing
-0.863,-0.027,0.289,grazing
-0.918,-0.082,0.238,grazing
-0.926,-0.137,0.121,grazing
-0.773,-0.008,0.418,grazing
-0.828,0.105,0.266,grazing
-0.867,-0.066,0.227,grazing
-0.938,-0.164,0.266,grazing
-0.832,-0.012,0.215,grazing
-0.695,0.008,0.316,grazing
-0.715,0.207,0.348,grazing
-0.824,0.18,0.391,grazing
-0.828,0.168,0.332,grazing
-0.828,0.047,0.313,grazing
-0.879,-0.246,0.16,grazing
